Step,Time,Wall,ForceX,ForceY,ForceZ
161,8.05,5,0.136606,0.00150053,6.33094e-12
162,8.1,5,0.136542,0.00150018,5.99343e-12
163,8.15,5,0.136479,0.00150007,6.05205e-12
164,8.2,5,0.136416,0.00149992,6.31672e-12
165,8.25,5,0.136354,0.00149974,6.24567e-12
166,8.3,5,0.136293,0.00149975,6.2137e-12
167,8.35,5,0.136233,0.00150003,6.21725e-12
168,8.4,5,0.136174,0.00150036,5.88507e-12
169,8.45,5,0.136115,0.00150066,6.84963e-12
170,8.5,5,0.136058,0.00150107,5.99165e-12
171,8.55,5,0.136001,0.00150171,6.03428e-12
172,8.6,5,0.135944,0.00150249,5.96501e-12
173,8.65,5,0.135889,0.00150325,5.91349e-12
174,8.7,5,0.135834,0.00150407,6.16396e-12
175,8.75,5,0.13578,0.00150507,5.81224e-12
176,8.8,5,0.135726,0.00150623,6.00409e-12
177,8.85,5,0.135673,0.00150742,5.89573e-12
178,8.9,5,0.135621,0.00150863,6.19593e-12
179,8.95,5,0.135569,0.00150997,6.30962e-12
180,9.,5,0.135519,0.00151147,6.07514e-12
181,9.05,5,0.135468,0.00151303,6.30962e-12
182,9.1,5,0.135419,0.00151461,6.19238e-12
183,9.15,5,0.13537,0.00151627,6.51923e-12
184,9.2,5,0.135321,0.00151805,6.31317e-12
185,9.25,5,0.135273,0.00151992,5.9579e-12
186,9.3,5,0.135226,0.00152182,5.97922e-12
187,9.35,5,0.13518,0.00152375,5.95968e-12
188,9.4,5,0.135134,0.00152577,6.31672e-12
189,9.45,5,0.135088,0.00152788,6.22968e-12
190,9.5,5,0.135043,0.00153002,6.32028e-12
191,9.55,5,0.134999,0.00153217,6.96687e-12
192,9.6,5,0.134955,0.00153438,5.85842e-12
193,9.65,5,0.134912,0.00153666,6.32916e-12
194,9.7,5,0.134869,0.00153897,6.19771e-12
195,9.75,5,0.134827,0.00154127,5.99343e-12
196,9.8,5,0.134785,0.0015436,6.98464e-12
197,9.85,5,0.134744,0.00154598,6.16041e-12
198,9.9,5,0.134703,0.00154838,6.04317e-12
199,9.95,5,0.134663,0.00155077,5.65059e-12
200,10.,5,0.134623,0.00155315,6.4162e-12
201,10.05,5,0.134584,0.00155555,6.21903e-12
202,10.1,5,0.134545,0.00155796,5.99343e-12
203,10.15,5,0.134506,0.00156035,6.70752e-12
204,10.2,5,0.134468,0.00156271,6.17106e-12
205,10.25,5,0.134431,0.00156506,6.09468e-12
206,10.3,5,0.134394,0.00156739,6.48015e-12
207,10.35,5,0.134358,0.0015697,6.36824e-12
208,10.4,5,0.134321,0.00157196,6.11777e-12
209,10.45,5,0.134286,0.00157418,6.17462e-12
210,10.5,5,0.134251,0.00157636,6.23146e-12
211,10.55,5,0.134216,0.0015785,6.37712e-12
212,10.6,5,0.134181,0.00158058,6.19593e-12
213,10.65,5,0.134147,0.00158259,6.61338e-12
214,10.7,5,0.134114,0.00158455,6.12843e-12
215,10.75,5,0.13408,0.00158645,6.3558e-12
216,10.8,5,0.134048,0.00158827,6.46949e-12
217,10.85,5,0.134015,0.00159001,5.46763e-12
218,10.9,5,0.133983,0.00159166,5.83711e-12
219,10.95,5,0.133951,0.00159325,5.84421e-12
220,11.,5,0.13392,0.00159474,5.96856e-12
221,11.05,5,0.133889,0.00159614,6.17462e-12
222,11.1,5,0.133859,0.00159743,6.00586e-12
223,11.15,5,0.133828,0.00159864,5.87264e-12
224,11.2,5,0.133799,0.00159974,6.04494e-12
225,11.25,5,0.133769,0.00160074,6.13909e-12
226,11.3,5,0.13374,0.00160163,6.01297e-12
227,11.35,5,0.133711,0.0016024,5.57066e-12
228,11.4,5,0.133682,0.00160307,5.98632e-12
229,11.45,5,0.133654,0.00160362,5.58664e-12
230,11.5,5,0.133626,0.00160405,5.29532e-12
231,11.55,5,0.133599,0.00160436,6.51212e-12
232,11.6,5,0.133572,0.00160456,5.98099e-12
233,11.65,5,0.133545,0.00160463,6.3789e-12
234,11.7,5,0.133518,0.00160458,5.74474e-12
235,11.75,5,0.133492,0.0016044,6.10001e-12
236,11.8,5,0.133466,0.0016041,6.00053e-12
237,11.85,5,0.13344,0.00160368,6.00053e-12
238,11.9,5,0.133414,0.00160313,6.10356e-12
239,11.95,5,0.133389,0.00160246,5.57066e-12
240,12.,5,0.133364,0.00160167,6.10534e-12
241,12.05,5,0.13334,0.00160075,6.29363e-12
242,12.1,5,0.133315,0.00159971,6.29541e-12
243,12.15,5,0.133291,0.00159855,6.04494e-12
244,12.2,5,0.133267,0.00159727,5.82467e-12
245,12.25,5,0.133244,0.00159587,6.1533e-12
246,12.3,5,0.133221,0.00159436,6.29718e-12
247,12.35,5,0.133198,0.00159274,6.29896e-12
248,12.4,5,0.133175,0.00159101,5.6648e-12
249,12.45,5,0.133152,0.00158917,6.00942e-12
250,12.5,5,0.13313,0.00158722,6.00409e-12
251,12.55,5,0.133108,0.00158518,5.74474e-12
252,12.6,5,0.133086,0.00158304,6.30784e-12
253,12.65,5,0.133064,0.0015808,6.41798e-12
254,12.7,5,0.133043,0.00157848,6.29718e-12
255,12.75,5,0.133022,0.00157607,6.58673e-12
256,12.8,5,0.133001,0.00157358,5.85132e-12
257,12.85,5,0.13298,0.00157101,6.36291e-12
258,12.9,5,0.13296,0.00156838,6.23324e-12
259,12.95,5,0.13294,0.00156567,6.08935e-12
